order_id,customer_name,customer_age,email,city,product,quantity,unit_price,total_revenue,payment_method,order_status,discount_percent,rating,order_date,delivery_days
1,Rahul,40,snehagmail.com,Delhi,Keyboard,1.0,1999.0,1999,credit card,delivered,0,5,2023-10-17,5.0
2,David,35,sneha@gmail.com,Chennai,Keyboard,1.0,1999.0,1999,credit card,pending,,4,2022-02-02,2.0
3,Sara,22,rahul@yahoo.com,Kolkata,Mobile,5.0,9999.0,49995,Debit Card,Cancelled,0,1,2023-04-05,5.0
4,David,40,amit@yahoo.com,Delhi,Headphones,3.0,9999.0,29997,Credit Card,delivered,10,N/A,2022-04-10,
5,Sneha,35,priya@gmail.com,Kolkata,Laptop,3.0,25999.0,77997,upi,Pending,0,4,2023-09-26,3.0
6,John,45,saragmail.com,DELHI,Keyboard,,9999.0,,Credit Card,delivered,five,2,2023-04-10,7.0
7,David,NA,,Chennai,Keyboard,2.0,4999.0,9998,UPI,Delivered,5,N/A,2024-01-17,1.0
8,Kiran,40,priyagmail.com,Hyderabad,Mobile,3.0,14999.0,44997,credit card,Returned,15,,2024-04-04,5.0
9,Kiran,35,,Pune,Monitor,3.0,4999.0,14997,Cash,Cancelled,5,2,2022-05-27,7.0
10,Mohit,25,rahulgmail.com,mumbai ,Laptop,1.0,1999.0,1999,Cash,Returned,,4,2023-05-21,7.0
11,Sara,25,,Delhi,Tablet,5.0,1999.0,9995,Cash,Pending,15,1,2022-09-15,
12,John,30,david@gmail.com,DELHI,Monitor,,9999.0,0,Net Banking,Pending,5,3,2024-06-15,-1.0
13,Anjali,22,,Mumbai,Laptop,5.0,25999.0,129995,UPI,Cancelled,5,1,2022-06-15,2.0
14,David,25,anjali@gmail.com,Bangalore,Mobile,5.0,1999.0,9995,credit card,Returned,,2,2024-06-18,3.0
15,John,35,davidgmail.com,Pune,Keyboard,5.0,14999.0,74995,credit card,Cancelled,15,5,2023-06-25,5.0
16,Kiran,25,sara@gmail.com,,Mobile,2.0,4999.0,9998,Net Banking,Pending,0,1,2022-05-04,
17,Priya,25,,,Mobile,1.0,4999.0,4999,UPI,pending,15,2,2023-10-09,7.0
18,Mohit,NA,sneha@yahoo.com,Chennai,Laptop,,25999.0,0,Credit Card,pending,15,3,2022-05-16,5.0
19,Sara,25,amit@yahoo.com,Delhi,Mobile,4.0,,,Debit Card,Pending,,4,2023-02-25,2.0
20,Anjali,NA,sneha@gmail.com,,Laptop,2.0,9999.0,19998,Credit Card,pending,,N/A,2023-03-09,1.0
21,Anjali,30,mohit@yahoo.com,Chennai,Mouse,1.0,4999.0,4999,Cash,Delivered,5,4,2024-09-19,1.0
22,Rahul,40,mohit@yahoo.com,Chennai,Tablet,3.0,14999.0,44997,Debit Card,Delivered,,,2023-02-04,7.0
23,David,22,kiran@yahoo.com,,Mobile,,9999.0,,Credit Card,delivered,0,N/A,2022-03-04,2.0
24,Kiran,35,mohit@gmail.com,Chennai,Monitor,5.0,1999.0,9995,Net Banking,Delivered,,1,2022-03-12,5.0
25,Sara,45,johngmail.com,Chennai,Tablet,5.0,25999.0,129995,Cash,Pending,five,,2023-11-05,3.0
26,Priya,22,anjali@gmail.com,,Mobile,3.0,1999.0,5997,Net Banking,Cancelled,5,3,2023-04-14,1.0
27,David,40,rahul@yahoo.com,Kolkata,Monitor,2.0,9999.0,19998,upi,pending,,1,2024-06-19,
28,Priya,25,,Delhi,Keyboard,5.0,9999.0,49995,Net Banking,Pending,10,3,2024-04-16,7.0
29,John,40,david@yahoo.com,Mumbai,Laptop,,9999.0,,credit card,Returned,10,1,2022-08-04,1.0
30,David,30,anjali@yahoo.com,Mumbai,Laptop,2.0,,unknown,Credit Card,pending,5,5,2022-12-08,1.0
31,Amit,30,mohitgmail.com,Kolkata,Tablet,3.0,25999.0,77997,upi,Delivered,10,2,2024-05-04,
32,Sneha,,kirangmail.com,Bangalore,Mouse,,1999.0,unknown,upi,Pending,15,1,2022-09-13,2.0
33,Priya,35,johngmail.com,Pune,Mouse,3.0,14999.0,44997,Credit Card,Returned,5,2,2024-01-25,-1.0
34,Amit,40,snehagmail.com,DELHI,Mobile,4.0,9999.0,39996,Cash,Cancelled,10,N/A,2024-07-29,1.0
35,Amit,,,Delhi,Tablet,3.0,9999.0,29997,Debit Card,delivered,10,1,2024-09-17,1.0
36,Mohit,45,mohit@gmail.com,mumbai ,Mobile,4.0,9999.0,39996,UPI,Delivered,five,4,2023-09-03,1.0
37,Priya,35,sara@yahoo.com,DELHI,Tablet,5.0,,0,Net Banking,Cancelled,five,N/A,2023-06-17,1.0
38,Mohit,40,,Kolkata,Monitor,3.0,25999.0,77997,Debit Card,Pending,15,,2024-01-08,5.0
39,John,40,mohit@gmail.com,Kolkata,Mobile,,4999.0,0,Cash,delivered,,,2023-11-25,3.0
40,Rahul,35,david@yahoo.com,DELHI,Laptop,4.0,14999.0,59996,UPI,delivered,five,,2023-04-22,7.0
41,Rahul,40,snehagmail.com,Mumbai,Laptop,1.0,4999.0,4999,Debit Card,Returned,,N/A,2022-12-10,-1.0
42,Mohit,35,mohit@yahoo.com,Chennai,Mobile,4.0,14999.0,59996,credit card,pending,0,N/A,2022-03-16,-1.0
43,Amit,35,rahul@yahoo.com,,Mobile,1.0,14999.0,14999,upi,Delivered,15,2,2024-02-28,-1.0
44,David,45,anjali@yahoo.com,Ahmedabad,Mobile,,25999.0,0,credit card,Returned,15,3,2023-04-21,-1.0
45,Anjali,NA,,Delhi,Keyboard,,9999.0,0,UPI,Pending,10,3,2022-09-11,3.0
46,Mohit,30,rahulgmail.com,Bangalore,Keyboard,5.0,1999.0,9995,Debit Card,Delivered,15,4,2024-07-03,3.0
47,Mohit,22,sneha@yahoo.com,mumbai ,Keyboard,4.0,14999.0,59996,Credit Card,delivered,15,4,2023-07-10,1.0
48,Anjali,,mohitgmail.com,Chennai,Tablet,3.0,9999.0,29997,Cash,Returned,0,4,2024-08-23,3.0
49,Kiran,30,anjaligmail.com,,Laptop,,14999.0,0,Cash,delivered,,,2023-11-16,1.0
50,John,NA,rahul@gmail.com,Pune,Tablet,,14999.0,,Debit Card,Returned,10,3,2022-03-27,-1.0
51,Anjali,,john@gmail.com,Mumbai,Keyboard,4.0,9999.0,39996,Net Banking,Delivered,10,2,2024-06-19,
52,Kiran,35,sneha@gmail.com,Bangalore,Mobile,,1999.0,,Debit Card,Returned,five,1,2022-03-12,7.0
53,Kiran,40,saragmail.com,mumbai ,Keyboard,2.0,14999.0,29998,credit card,Delivered,5,3,2024-08-28,1.0
54,Priya,,mohitgmail.com,mumbai ,Keyboard,1.0,9999.0,9999,upi,pending,5,1,2023-08-16,
55,Sara,25,kiran@gmail.com,,Headphones,3.0,,0,credit card,Cancelled,0,5,2024-03-02,
56,Sara,NA,priya@yahoo.com,DELHI,Mouse,1.0,14999.0,14999,Cash,pending,5,4,2022-12-16,2.0
57,Kiran,NA,anjali@yahoo.com,Kolkata,Tablet,5.0,,unknown,upi,Pending,0,3,2024-01-22,5.0
58,Anjali,,sara@gmail.com,Hyderabad,Mobile,4.0,25999.0,103996,Cash,Pending,10,N/A,2022-09-07,3.0
59,David,40,david@gmail.com,Chennai,Laptop,3.0,25999.0,77997,Debit Card,pending,15,4,2022-12-15,7.0
60,Priya,NA,anjali@gmail.com,Kolkata,Mobile,2.0,,unknown,Cash,pending,5,3,2024-02-16,
61,Sara,45,,Ahmedabad,Tablet,3.0,14999.0,44997,UPI,Cancelled,5,1,2023-08-19,
62,Anjali,30,snehagmail.com,Kolkata,Keyboard,3.0,1999.0,5997,Net Banking,delivered,,3,2022-07-17,1.0
63,John,35,saragmail.com,Mumbai,Keyboard,2.0,9999.0,19998,Net Banking,Pending,10,1,2024-05-02,1.0
64,Kiran,NA,priya@gmail.com,Kolkata,Headphones,3.0,,,Cash,Returned,10,2,2023-07-21,1.0
65,Priya,25,mohit@yahoo.com,mumbai ,Keyboard,4.0,1999.0,7996,credit card,Delivered,5,2,2022-09-16,-1.0
66,Kiran,35,priya@yahoo.com,mumbai ,Mouse,3.0,1999.0,5997,Net Banking,Pending,,4,2023-07-31,5.0
67,Kiran,,john@gmail.com,Delhi,Mouse,4.0,9999.0,39996,Debit Card,pending,5,3,2024-07-19,
68,Rahul,30,david@gmail.com,Mumbai,Headphones,2.0,4999.0,9998,Cash,pending,,4,2022-03-25,3.0
69,Sneha,40,anjali@gmail.com,Kolkata,Mouse,2.0,9999.0,19998,upi,pending,,,2022-02-03,-1.0
70,Rahul,25,davidgmail.com,Kolkata,Mouse,2.0,14999.0,29998,Debit Card,Delivered,0,2,2024-08-14,-1.0
71,Anjali,40,anjali@gmail.com,Kolkata,Keyboard,5.0,,0,Cash,Cancelled,,5,2022-11-11,5.0
72,Kiran,22,,Kolkata,Laptop,1.0,25999.0,25999,Credit Card,Pending,five,N/A,2023-03-25,-1.0
73,Rahul,40,kiran@gmail.com,Ahmedabad,Monitor,5.0,1999.0,9995,credit card,Returned,10,2,2023-08-13,7.0
74,Sara,NA,sara@yahoo.com,Hyderabad,Keyboard,,14999.0,,Credit Card,Pending,10,4,2023-03-23,
75,Sara,22,anjali@gmail.com,Kolkata,Tablet,3.0,,unknown,Credit Card,Returned,,N/A,2023-05-23,1.0
76,David,,amitgmail.com,Hyderabad,Monitor,5.0,14999.0,74995,upi,Returned,five,4,2023-11-05,-1.0
77,Anjali,30,john@yahoo.com,Delhi,Laptop,2.0,9999.0,19998,credit card,delivered,5,,2022-02-22,2.0
78,Priya,,priyagmail.com,Ahmedabad,Laptop,5.0,1999.0,9995,credit card,Pending,15,,2022-11-15,3.0
79,Anjali,NA,anjaligmail.com,,Mobile,,9999.0,unknown,Cash,Pending,,5,2023-06-06,
80,David,40,,Kolkata,Mouse,2.0,1999.0,3998,Credit Card,Cancelled,five,3,2024-06-19,-1.0
81,Sara,30,anjali@yahoo.com,Hyderabad,Monitor,5.0,,unknown,upi,delivered,15,4,2023-08-25,3.0
82,Amit,,sneha@yahoo.com,Hyderabad,Keyboard,2.0,,,Cash,pending,15,4,2024-06-09,
83,Priya,22,,Ahmedabad,Laptop,,4999.0,unknown,Net Banking,Returned,0,,2024-03-22,2.0
84,Kiran,NA,,Pune,Keyboard,,4999.0,,Credit Card,Cancelled,five,N/A,2023-02-24,7.0
85,Kiran,NA,david@gmail.com,Delhi,Mobile,3.0,,0,credit card,pending,10,2,2023-01-25,
86,John,25,anjaligmail.com,Mumbai,Laptop,4.0,1999.0,7996,UPI,Delivered,10,3,2022-04-03,3.0
87,Rahul,,kirangmail.com,Bangalore,Laptop,2.0,4999.0,9998,Net Banking,Returned,,,2023-03-18,2.0
88,Anjali,35,,Kolkata,Keyboard,5.0,4999.0,24995,Credit Card,Returned,10,,2023-05-25,7.0
89,Mohit,45,,Kolkata,Headphones,1.0,14999.0,14999,upi,Cancelled,5,4,2022-06-11,-1.0
90,Kiran,,,Kolkata,Keyboard,1.0,4999.0,4999,UPI,Delivered,five,4,2023-05-10,3.0
91,John,22,kiran@yahoo.com,Chennai,Monitor,5.0,,0,upi,Cancelled,5,,2022-01-09,2.0
92,John,30,priya@gmail.com,Ahmedabad,Laptop,3.0,,0,Net Banking,Cancelled,five,2,2023-09-28,1.0
93,Rahul,,rahulgmail.com,,Tablet,3.0,9999.0,29997,Net Banking,delivered,10,N/A,2024-07-20,2.0
94,Priya,45,priya@yahoo.com,Bangalore,Mouse,4.0,9999.0,39996,Debit Card,pending,five,,2022-09-21,5.0
95,John,25,mohit@gmail.com,,Laptop,5.0,9999.0,49995,Cash,Cancelled,five,,2024-09-17,
96,Anjali,45,priyagmail.com,Mumbai,Monitor,5.0,14999.0,74995,Net Banking,Cancelled,,2,2022-09-26,
97,Rahul,40,mohit@gmail.com,Mumbai,Laptop,,14999.0,0,UPI,Returned,0,1,2022-03-06,2.0
98,David,,,Pune,Monitor,5.0,4999.0,24995,credit card,pending,5,4,2024-06-27,
99,Sara,,john@gmail.com,Chennai,Headphones,4.0,25999.0,103996,Cash,Pending,10,1,2022-04-12,
100,Sneha,22,,Delhi,Mouse,5.0,,unknown,upi,Returned,0,,2023-01-12,2.0
101,Rahul,22,saragmail.com,mumbai ,Mobile,,25999.0,,Credit Card,delivered,5,5,2023-10-20,2.0
102,John,30,kiran@gmail.com,Bangalore,Mobile,2.0,9999.0,19998,Net Banking,Cancelled,5,1,2024-04-12,
103,Kiran,22,saragmail.com,Hyderabad,Laptop,1.0,4999.0,4999,Debit Card,Cancelled,0,2,2024-06-06,
104,Sara,25,anjali@yahoo.com,,Monitor,5.0,1999.0,9995,Credit Card,Returned,,2,2023-03-08,7.0
105,Amit,40,anjali@gmail.com,Ahmedabad,Mouse,,,0,Cash,Returned,five,1,2022-02-14,5.0
106,Priya,25,saragmail.com,Bangalore,Tablet,4.0,1999.0,7996,Net Banking,pending,,5,2023-12-31,
107,Priya,40,anjali@yahoo.com,Delhi,Mouse,4.0,25999.0,103996,credit card,pending,,,2022-11-29,-1.0
108,Anjali,35,,Pune,Headphones,4.0,14999.0,59996,credit card,Delivered,10,4,2022-08-09,3.0
109,Priya,30,anjali@gmail.com,Delhi,Laptop,3.0,9999.0,29997,Cash,Delivered,five,,2023-11-13,3.0
110,Priya,22,,Pune,Tablet,2.0,25999.0,51998,upi,pending,15,N/A,2024-04-11,
111,Kiran,40,sara@gmail.com,,Mobile,3.0,25999.0,77997,Debit Card,pending,15,2,2022-02-22,-1.0
112,Kiran,45,,Chennai,Mouse,3.0,25999.0,77997,Cash,delivered,,5,2022-04-21,
113,John,40,amitgmail.com,Kolkata,Tablet,5.0,1999.0,9995,UPI,Delivered,5,N/A,2023-10-21,2.0
114,David,30,amit@gmail.com,Chennai,Headphones,,14999.0,,Cash,Returned,10,2,2023-08-03,3.0
115,Rahul,25,amitgmail.com,mumbai ,Laptop,,9999.0,0,credit card,Delivered,10,4,2022-11-16,
116,Sneha,NA,,,Laptop,4.0,25999.0,103996,UPI,Returned,0,3,2023-03-11,
117,Mohit,40,amitgmail.com,mumbai ,Laptop,5.0,14999.0,74995,Credit Card,Pending,10,2,2023-11-26,-1.0
118,Anjali,45,priya@gmail.com,Pune,Mobile,3.0,9999.0,29997,Debit Card,Returned,,,2022-05-21,2.0
119,Mohit,25,mohit@gmail.com,Mumbai,Headphones,5.0,,unknown,Credit Card,Cancelled,,4,2023-05-28,7.0
120,Amit,40,priya@yahoo.com,Hyderabad,Mobile,,,unknown,upi,delivered,15,N/A,2023-02-19,
121,Mohit,,priyagmail.com,mumbai ,Headphones,3.0,1999.0,5997,Net Banking,Delivered,15,N/A,2024-07-30,3.0
122,David,45,rahul@gmail.com,DELHI,Laptop,3.0,4999.0,14997,Net Banking,delivered,5,N/A,2024-02-03,3.0
123,John,35,priyagmail.com,Chennai,Mobile,,,,Net Banking,Pending,five,1,2022-12-26,2.0
124,Sara,NA,,Bangalore,Headphones,,14999.0,unknown,Credit Card,Returned,15,,2024-09-01,3.0
125,John,22,sara@gmail.com,Ahmedabad,Headphones,3.0,25999.0,77997,Credit Card,Delivered,10,N/A,2024-03-26,3.0
126,Anjali,,anjali@gmail.com,mumbai ,Keyboard,,1999.0,0,Debit Card,Cancelled,,4,2022-03-20,7.0
127,David,25,sara@gmail.com,DELHI,Mobile,1.0,14999.0,14999,Credit Card,Pending,five,4,2022-06-04,5.0
128,John,30,,Pune,Headphones,5.0,25999.0,129995,upi,Cancelled,five,5,2023-06-21,1.0
129,David,25,sara@gmail.com,DELHI,Headphones,,,unknown,UPI,Cancelled,five,N/A,2024-03-19,
130,Sara,45,priyagmail.com,Kolkata,Keyboard,5.0,4999.0,24995,credit card,pending,15,2,2024-09-14,7.0
